// Skill Times Database
//
// Structure of Database:
// SkillID,CastingTime,AfterCastActDelay,AfterCastWalkDelay,Duration1,Duration2,Cool Down,Fixed Casting Time
//
// CastingTime: time to cast this skill, in miliseconds
// AfterCastActDelay: "normal" delay, character cannot use skills, in miliseconds
// AfterCastWalkDleay: amount of time before character can move again, in miliseconds
// Duration1/Duration2: usually the durations used by the skill, at special cases it is used to hold special data
// Cool Down: amount of time until character can re-use this skill, in miliseconds
// Fixed Casting Time: the skills fixed casting time (when 0, uses 20% of cast time and less than 0 means no fixed cast time)
//
// On all fields you can use ':' as a delimiter for level-specific values.
// For example:
// - Original: 6,0,0,0,30000,0,1000
// - Modified: 6,0,0,0,30000,0,1000:2500:3000:...
// Gives Level 1 1000ms cool down, Level 2 2500ms, Level 3 3000ms, and so on.

27,2500,0,0,15000,0,0,0
54,2500,0,0,0,0,0,0

4000,0,0,0,0,0,0,0
4001,0,0,0,0,0,0,0
4002,0,0,0,0,0,0,0
4003,0,0,0,0,0,0,0
4004,0,0,0,0,0,0,0
4005,0,0,0,0,0,0,0
4006,0,0,0,0,0,0,0
4007,0,0,0,0,0,0,0
4008,0,0,0,0,0,0,0
4009,0,0,0,500,0,0,0
4010,0,0,0,500,0,0,0
4011,0,0,0,0,0,0,0
4012,0,0,0,0,0,0,0
4013,0,0,0,0,0,0,0

4014,2500,0,0,0,0,0,0

4030,0,0,0,0,0,2000,0
4031,0,0,0,0,0,4000,0
4032,0,0,0,0,0,5000,0
4033,0,0,0,0,0,5000,0
4034,0,0,0,0,0,12000,0
4035,0,0,0,0,0,2000,0
4036,0,0,0,0,0,2000,0
4037,0,0,0,0,0,8000,0

4042,1,0,0,0,0,20000,0
4043,1,0,0,0,0,8000,0
4044,1,0,0,0,0,0,0
4045,1,0,0,0,0,5000,0
4046,250,0,0,0,0,2000,0
4047,500,0,0,1500,0,4000,0
4048,500,0,0,8000,8000,12000,0
4049,500,0,0,500,0,18000,0
4050,250,0,0,0,0,2000,0
4051,500,0,0,500,0,4000,0
4052,500,0,0,150,0,12000,0
4053,500,0,0,0,0,18000,0

6,0,0,0,0,0,0,0
62,0,0,0,0,0,8000,0
255,0,0,0,0,60000,0,0

28,1000,0,0,0,0,1000,0


4055,500,0,0,0,0,15000,0
4056,100,0,0,0,0,15000,0
4057,0,0,0,0,0,10000,0
4058,0,0,0,0,0,1000,0
4059,0,0,0,0,0,1000,0
4061,0,0,0,0,0,1000,0
